Tip,Fish,Genus,Species,subspecies,ID,Location,NewLocation
AF370101.1,Siphateles bicolor columbianus OS 15577-6,Siphateles,bicolor,columbianus,OS,"Silver Creek, Harney County, Oregon","Silver Creek, Harney County, Oregon"
AF370102.1,Siphateles bicolor columbianus OS 15577-8,Siphateles,bicolor,columbianus,OS,"Silver Creek, Harney County, Oregon","Silver Creek, Harney County, Oregon"
AF370103.1,Siphateles bicolor subsp. 'Silver Lake Valley' PMH9401-1,Siphateles,bicolor,subsp,Silver,"Buck Creek, Silver Lake Valley, Lake County,","Buck Creek, Silver Lake Valley, Lake County, Oregon"
AF370104.1,Siphateles bicolor subsp. 'Silver Lake Valley' PMH9401-2,Siphateles,bicolor,subsp,Silver,"Buck Creek, Silver Lake Valley, Lake County,","Buck Creek, Silver Lake Valley, Lake County, Oregon"
AF370105.1,Siphateles bicolor OS 16665-1,Siphateles,bicolor,OS,16665,"Upper Klamath Lake, Klamath County, Oregon","Upper Klamath Lake, Klamath County, Oregon"
AF370106.1,Siphateles bicolor OS 16665-2,Siphateles,bicolor,OS,16665,"Upper Klamath Lake, Klamath County, Oregon","Upper Klamath Lake, Klamath County, Oregon"
AF370107.1,Siphateles bicolor thalassinus BB60,Siphateles,bicolor,thalassinus,BB60,"Goose Lake, Lake County, Oregon","Goose Lake, Lake County, Oregon"
AF370108.1,Siphateles bicolor thalassinus BB62,Siphateles,bicolor,thalassinus,BB62,"Goose Lake, Lake County, Oregon","Goose Lake, Lake County, Oregon"
AF370109.1,Siphateles bicolor thalassinus OS 15312-32,Siphateles,bicolor,thalassinus,OS,"Rickert Springs, Summer Lake Basin, Lake","Rickert Springs, Summer Lake Basin, Lake County, Oregon"
AF370110.1,Siphateles bicolor thalassinus OS 15312-31,Siphateles,bicolor,thalassinus,OS,"Rickert Springs, Summer Lake Basin, Lake","Rickert Springs, Summer Lake Basin, Lake County, Oregon"
AF370111.1,Siphateles bicolor thalassinus OS 15437-48,Siphateles,bicolor,thalassinus,OS,"County Road 4-17 Springs, Summer Lake Basin,","County Road 4-17 Springs, Summer Lake Basin, Lake County, Oregon"
AF370112.1,Siphateles bicolor thalassinus BB-W1,Siphateles,bicolor,thalassinus,BB,"Hart Lake, Warner Valley, Lake County,","Hart Lake, Warner Valley, Lake County, Oregon"
AF370113.1,Siphateles bicolor thalassinus BB-W2,Siphateles,bicolor,thalassinus,BB,"Hart Lake, Warner Valley, Lake County,","Hart Lake, Warner Valley, Lake County, Oregon"
AF370114.1,Siphateles bicolor thalassinus DFM9709-1,Siphateles,bicolor,thalassinus,DFM9709,"Cowhead Slough, Cowhead Lake Valley, Modoc","Cowhead Slough, Cowhead Lake Valley, Modoc County, California"
MF972070.1,Siphateles bicolor mohavensis,Siphateles,bicolor,mohavensis,NA,NA,"Camp Cady Wildlife Area, San Bernadino County, California"
AF237760.1,Siphateles bicolor isolata,Siphateles,bicolor,isolata,NA,"Nevada, Elko County, Independence Valley","Independence Valley, Elko County, Nevada"
AF237758.1,Siphateles bicolor euchila,Siphateles,bicolor,euchila,NA,"Nevada, Eureka County, Little Smoky Valley","Little Smoky Valley, Eureka County, Nevada"
AF237757.1,Siphateles bicolor newarkensis,Siphateles,bicolor,newarkensis,NA,"Nevada, White Pine County, Newark Valley","Newark Valley, White Pine County, Nevada"
AF237756.1,Siphateles bicolor euchila,Siphateles,bicolor,euchila,NA,"Nevada, Eureka County, Little Smoky Valley","Little Smoky Valley, Eureka County, Nevada"
AF237755.1,Siphateles bicolor newarkensis,Siphateles,bicolor,newarkensis,NA,"Nevada, White Pine County, Newark Valley","Newark Valley, White Pine County, Nevada"
AF237754.1,Siphateles bicolor newarkensis,Siphateles,bicolor,newarkensis,NA,"Nevada, White Pine County, Newark Valley","Newark Valley, White Pine County, Nevada"
AF237753.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Churchill County, Toulon Drain","Toulon Drain, Churchill County, Nevada"
AF237752.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Elko County, South Fork Humboldt River","South Fork Humboldt River, Elko County, Nevada"
AF237751.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Esmerelda County, Fish Lake Valley","Fish Lake Valley, Esmeralda County, Nevada"
AF237750.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Bull Creek","Bull Creek, Railroad Valley, Nye County, Nevada"
AF237749.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Blue Eagle","Blue Eagle Springs, Railroad Valley, Nye County, Nevada"
AF237748.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Flowing Wells","Flowing Wells, Railroad Valley, Nye County, Nevada"
AF237747.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Bull Creek","Bull Creek, Railroad Valley, Nye County, Nevada"
AF237746.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Blue Eagle","Blue Eagle Springs, Railroad Valley, Nye County, Nevada"
AF237745.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Blue Eagle","Blue Eagle Springs, Railroad Valley, Nye County, Nevada"
AF237744.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Green Springs","Green Springs, Railroad Valley, Nye County, Nevada"
AF237743.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Railroad Valley, Flowing Wells","Flowing Wells, Railroad Valley, Nye County, Nevada"
AF237742.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Hot Creek Valley","Hot Creek Valley, Nye County, Nevada"
AF237741.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Hot Creek Valley","Hot Creek Valley, Nye County, Nevada"
AF237740.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Little Fish Lake Valley","Little Fish Lake Valley, Nye County, Nevada"
AF237739.1,Siphateles bicolor obesa,Siphateles,bicolor,obesa,NA,"Nevada, Nye County, Big Smoky Valley","Big Smoky Valley, Nye County, Nevada"
